INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,LATITUDE,LONGITUDE
65539763,09/07/2009,16:25:00,BROOKLYN,81,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1005312,190540,40.68964821,-73.92405412
50864319,09/07/2008,17:00:00,BROOKLYN,73,0,,FALSE,<18,M,BLACK,<18,M,BLACK,1006209,184702,40.67362205,-73.92083866
24202180,09/07/2006,20:37:00,BROOKLYN,75,0,,TRUE,UNKNOWN,U,UNKNOWN,65+,M,BLACK,1016505,188420,40.68379559,-73.88370354
24224966,09/07/2006,16:45:00,BROOKLYN,67,0,,FALSE,18-24,M,BLACK,<18,M,BLACK,1004021,177805,40.65469648,-73.92874668
24187298,09/07/2006,0:16:00,BROOKLYN,69,0,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK HISPANIC,1009185,171039,40.63611224,-73.91016062
156484293,09/06/2016,22:44:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK,998124,177837,40.65479551,-73.94999942
156484294,09/06/2016,22:23:00,BROOKLYN,73,0,,TRUE,18-24,M,BLACK,18-24,M,BLACK HISPANIC,1007720,184595,40.67332448,-73.91539184
156456020,09/06/2016,1:28:00,BROOKLYN,94,0,,TRUE,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,994565,201621,40.720082,-73.96278968
156456020,09/06/2016,1:28:00,BROOKLYN,94,0,,TRUE,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,994565,201621,40.720082,-73.96278968
145925351,09/06/2015,1:30:00,BROOKLYN,79,0,,FALSE,,,,18-24,F,BLACK,1000869,189184,40.68593576,-73.94007844
145925352,09/06/2015,0:55:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,BLACK,1003553,181953,40.66608285,-73.93042148
138588532,09/06/2014,6:58:00,BROOKLYN,73,0,,TRUE,18-24,M,BLACK,25-44,M,BLACK,1009241,187176,40.68040458,-73.90989905
138588465,09/06/2014,1:38:00,BROOKLYN,73,0,,TRUE,,,,25-44,M,BLACK,1007533,183955,40.67156832,-73.91606819
92489480,09/06/2013,21:15:00,BROOKLYN,79,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,998660,190488,40.68951881,-73.94804063
86626274,09/06/2012,21:22:00,BROOKLYN,71,0,GROCERY/BODEGA,FALSE,18-24,M,BLACK,18-24,M,BLACK,1000897,180695,40.66263531,-73.93999845
86626274,09/06/2012,21:22:00,BROOKLYN,71,0,GROCERY/BODEGA,FALSE,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1000897,180695,40.66263531,-73.93999845
86626273,09/06/2012,18:55:00,BROOKLYN,83,0,,FALSE,,,,25-44,M,BLACK,1008315,190727,40.69015383,-73.91322496
80607404,09/06/2011,2:12:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,BLACK,1010862,178621,40.6569183,-73.90408849
74487571,09/06/2010,7:20:00,BROOKLYN,67,0,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1005950,179753,40.66003879,-73.92178829
74480377,09/06/2010,4:51:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1002295,184332,40.67261533,-73.93494972
74488352,09/06/2010,4:20:00,BROOKLYN,67,0,,TRUE,,,,18-24,M,BLACK,1003098,177449,40.65372135,-73.93207417
74488595,09/06/2010,22:11:00,BROOKLYN,75,0,,FALSE,25-44,M,BLACK,18-24,F,BLACK HISPANIC,1013002,184767,40.67378101,-73.89634946
74493277,09/06/2010,20:24:00,BROOKLYN,77,0,COMMERCIAL BLDG,FALSE,,,,18-24,M,BLACK,998358,186487,40.67853747,-73.94913798
74493277,09/06/2010,20:24:00,BROOKLYN,77,0,COMMERCIAL BLDG,FALSE,,,,25-44,M,BLACK,998358,186487,40.67853747,-73.94913798
74479751,09/06/2010,0:41:00,BROOKLYN,75,0,PVT HOUSE,FALSE,,,,25-44,F,BLACK HISPANIC,1018550,186754,40.67921511,-73.87633863
74479752,09/06/2010,0:40:00,BROOKLYN,84,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,989298,194785,40.70132337,-73.98179571
65463810,09/06/2009,4:34:00,BROOKLYN,75,0,MULTI DWELL - PUBLIC HOUS,TRUE,18-24,M,BLACK,18-24,M,BLACK,1014300,184310,40.67252233,-73.89167216
65464025,09/06/2009,3:30:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1000104,173345,40.64246262,-73.94287404
65464025,09/06/2009,3:30:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,U,UNKNOWN,<18,M,BLACK,1000104,173345,40.64246262,-73.94287404
65464027,09/06/2009,16:11:00,BROOKLYN,81,0,,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1001474,186197,40.67773597,-73.93790463
50843851,09/06/2008,2:26:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,BLACK,18-24,F,BLACK,1008116,184730,40.67369397,-73.91396378
50843851,09/06/2008,2:26:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,1008116,184730,40.67369397,-73.91396378
50885244,09/06/2008,21:46:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,F,BLACK,1010754,179173,40.65843374,-73.90447556
34229139,09/06/2007,4:23:00,BROOKLYN,77,0,,FALSE,18-24,M,BLACK,45-64,M,BLACK,1000836,185082,40.67467676,-73.94020753
34229140,09/06/2007,23:49:00,BROOKLYN,73,0,,FALSE,18-24,M,BLACK,25-44,M,BLACK,1007160,181666,40.6652865,-73.9174206
24187297,09/06/2006,20:55:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,25-44,F,BLACK,997754,193359,40.69740047,-73.9513018
168780020,09/05/2017,0:54:00,BROOKLYN,67,0,,FALSE,,,,18-24,M,BLACK,1002286,172675,40.64061944,-73.93501334
168780020,09/05/2017,0:54:00,BROOKLYN,67,0,,FALSE,,,,<18,M,BLACK,1002286,172675,40.64061944,-73.93501334
156442532,09/05/2016,6:47:00,BROOKLYN,71,0,,FALSE,,,,18-24,M,BLACK,997704,178037,40.65534511,-73.9515127
156456844,09/05/2016,4:14:00,BROOKLYN,71,0,,TRUE,18-24,M,BLACK,18-24,F,BLACK,995298,180949,40.66334124,-73.96017925
156435424,09/05/2016,3:49:00,BROOKLYN,71,0,,FALSE,,,,65+,F,BLACK,994673,180873,40.6631334,-73.96243216
156435424,09/05/2016,3:49:00,BROOKLYN,71,0,,TRUE,,,,65+,F,BLACK,994673,180873,40.6631334,-73.96243216
156435424,09/05/2016,3:49:00,BROOKLYN,71,0,,FALSE,,,,<18,M,BLACK,994673,180873,40.6631334,-73.96243216
156435424,09/05/2016,3:49:00,BROOKLYN,71,0,,TRUE,,,,<18,M,BLACK,994673,180873,40.6631334,-73.96243216
156456021,09/05/2016,22:02:00,BROOKLYN,70,0,,FALSE,,,,18-24,M,BLACK,995182,177369,40.65351507,-73.96060317
156456022,09/05/2016,18:39:00,BROOKLYN,81,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1006938,187372,40.68094876,-73.91820161
145924874,09/05/2015,8:35:00,BROOKLYN,77,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1001253,184403,40.67281227,-73.93870592
145931249,09/05/2015,6:21:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,18-24,F,BLACK,1006528,180139,40.66109684,-73.91970373
145931248,09/05/2015,20:24:00,BROOKLYN,77,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,994856,184939,40.67429344,-73.96176615
145924875,09/05/2015,15:47:00,BROOKLYN,75,0,,FALSE,,,,25-44,M,BLACK,1017119,183909,40.67141166,-73.88151172
138579727,09/05/2014,6:07:00,BROOKLYN,77,0,,FALSE,18-24,M,BLACK,<18,M,BLACK,1003509,185018,40.67449569,-73.93057133
138554663,09/05/2014,3:18:00,BROOKLYN,71,0,,FALSE,,,,18-24,M,BLACK HISPANIC,999005,181250,40.66416202,-73.94681682
138554663,09/05/2014,3:18:00,BROOKLYN,71,0,,FALSE,,,,18-24,M,WHITE HISPANIC,999005,181250,40.66416202,-73.94681682
92472424,09/05/2013,22:47:00,BROOKLYN,90,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1000638,195737,40.70392266,-73.94089542
92461512,09/05/2013,1:25:00,BROOKLYN,70,0,,TRUE,,,,45-64,M,BLACK,995971,173670,40.64336111,-73.95776609
92472425,09/05/2013,19:13:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,1002388,185584,40.6760516,-73.93461109
86608316,09/05/2012,0:50:00,BROOKLYN,66,0,PVT HOUSE,FALSE,65+,M,WHITE,45-64,M,WHITE,988325,171131,40.63639891,-73.98531915
80597682,09/05/2011,6:00:00,BROOKLYN,71,0,FAST FOOD,FALSE,25-44,M,BLACK,25-44,M,BLACK,995298,180949,40.66334124,-73.96017925
80606050,09/05/2011,4:20:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,998188,177056,40.65265173,-73.94977038
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK,996111,184938,40.67428911,-73.9572418
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,M,BLACK,996111,184938,40.67428911,-73.9572418
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,45-64,F,BLACK,996111,184938,40.67428911,-73.9572418
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,45-64,F,BLACK,996111,184938,40.67428911,-73.9572418
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,UNKNOWN,M,BLACK,996111,184938,40.67428911,-73.9572418
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,UNKNOWN,M,WHITE HISPANIC,996111,184938,40.67428911,-73.9572418
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,UNKNOWN,M,BLACK,996111,184938,40.67428911,-73.9572418
80624786,09/05/2011,21:04:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,UNKNOWN,M,WHITE HISPANIC,996111,184938,40.67428911,-73.9572418
80606151,09/05/2011,18:20:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,M,BLACK,1005432,185233,40.67508142,-73.9236381
80606049,09/05/2011,17:00:00,BROOKLYN,71,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,997597,183356,40.66994476,-73.95188781
80606049,09/05/2011,17:00:00,BROOKLYN,71,0,,FALSE,18-24,M,BLACK,25-44,M,BLACK,997597,183356,40.66994476,-73.95188781
80599737,09/05/2011,14:28:00,BROOKLYN,77,0,,FALSE,,,,18-24,M,BLACK,1003742,182918,40.66873115,-73.92973741
80599737,09/05/2011,14:28:00,BROOKLYN,77,0,,FALSE,,,,25-44,M,BLACK,1003742,182918,40.66873115,-73.92973741
80592060,09/05/2011,0:45:00,BROOKLYN,67,0,PVT HOUSE,FALSE,,,,18-24,M,BLACK,1004517,178363,40.65622694,-73.92695742
80592060,09/05/2011,0:45:00,BROOKLYN,67,0,PVT HOUSE,TRUE,,,,18-24,M,BLACK,1004517,178363,40.65622694,-73.92695742
80592060,09/05/2011,0:45:00,BROOKLYN,67,0,PVT HOUSE,FALSE,,,,25-44,M,BLACK,1004517,178363,40.65622694,-73.92695742
80592060,09/05/2011,0:45:00,BROOKLYN,67,0,PVT HOUSE,TRUE,,,,25-44,M,BLACK,1004517,178363,40.65622694,-73.92695742
74471161,09/05/2010,6:40:00,BROOKLYN,63,0,,FALSE,,,,25-44,M,BLACK HISPANIC,1003177,165114,40.61986423,-73.93182405
74470614,09/05/2010,3:36:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,1005435,180852,40.66305655,-73.92364105
65440608,09/05/2009,9:58:00,BROOKLYN,77,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,997761,186202,40.67775614,-73.95129091
